iter	RMSE
680	169254.7327
681	169168.6323
682	169126.9667
683	169047.1639
684	168988.5608
685	168959.4346
686	168867.2346
687	168763.4706
688	168726.1003
689	168705.2162
690	168643.0729
691	168577.1098
692	168526.066
693	168498.4346
694	168446.0279
695	168401.2728
696	168376.665
697	168291.9618
698	168284.4125
699	168238.161
700	168195.621
701	168149.0872
702	168089.0081
703	168051.4944
704	168015.6384
705	167894.997
706	167749.1595
707	167692.1345
708	167657.7328
709	167572.4553
710	167496.6593
711	167445.9906
712	167387.4506
713	167357.7476
714	167328.4821
715	167276.6565
716	167197.8924
717	167124.3308
718	167071.0138
719	167034.867
720	166997.1369
721	166911.9706
722	166868.6708
723	166825.7
724	166691.0878
725	166602.3998
726	166554.336
727	166520.207
728	166490.9545
729	166470.0021
730	166426.1901
731	166393.1785
732	166342.358
733	166286.6874
734	166248.234
735	166206.8608
736	166154.3508
737	166122.3839
738	166090.2762
739	166066.1468
740	166007.2071
741	165958.2396
742	165884.6867
743	165828.411
744	165761.3951
745	165708.2527
746	165657.7838
747	165622.577
748	165598.1848
749	165472.7172
750	165378.6129
751	165319.0564
752	165258.7847
753	165223.3775
754	165179.2852
755	165132.0743
756	165083.5605
757	165043.3438
758	165008.7097
759	164942.0054
760	164820.1123
761	164782.8085
762	164739.6381
763	164709.5577
764	164639.8254
765	164595.8023
766	164570.4408
767	164520.6535
768	164516.3504
769	164435.4539
770	164363.9917
771	164337.627
772	164283.4429
773	164245.9761
774	164225.5649
775	164192.1059
776	164129.3303
777	164055.0787
778	163995.5143
779	163969.799
780	163891.5681
781	163816.3923
782	163776.7106
783	163720.4914
784	163694.5666
785	163657.5123
786	163619.9711
787	163578.5198
788	163504.9081
789	163430.2928
790	163390.2333
791	163347.2961
792	163303.5124
793	163234.2774
794	163208.1049
795	163150.8435
796	163080.1519
797	163032.6925
798	162982.9215
799	162930.8554
800	162890.5952
801	162851.0074
802	162812.3624
803	162739.0754
804	162682.1337
805	162648.2528
806	162601.1952
807	162524.6141
808	162495.3936
809	162460.49
810	162393.6737
811	162348.5846
812	162309.1357
813	162276.721
814	162233.2932
815	162166.3455
816	162111.8162
817	162084.003
818	162001.9676
819	161957.2793
820	161901.468
821	161822.9849
822	161764.5456
823	161674.2756
824	161630.6742
825	161555.9169
826	161497.927
827	161443.8369
828	161391.1951
829	161345.6478
830	161318.1845
831	161232.3831
832	161182.4602
833	161156.5113
834	161123.5921
835	161057.8955
836	161015.3681
837	160943.1158
838	160889.8323
839	160862.9316
840	160832.4958
841	160780.6261
842	160719.6438
843	160668.6682
844	160646.8086
845	160595.7644
846	160551.0218
847	160512.3454
848	160463.0732
849	160415.9855
850	160395.8471
851	160357.4679
852	160328.4174
853	160298.6555
854	160255.8033
855	160221.2795
856	160158.6007
857	160103.8164
858	160007.5732
859	159973.3347
860	159930.8763
861	159898.316
862	159844.3704
863	159783.6643
864	159709.4684
865	159666.2873
866	159591.7557
867	159547.2698
868	159475.072
869	159426.6878
870	159397.5402
871	159352.0836
872	159303.2464
873	159230.5469
874	159190.1315
875	159126.8256
876	159078.1319
877	159001.4382
878	158934.2825
879	158908.2689
880	158837.8041
881	158799.5176
882	158772.6464
883	158747.8566
884	158723.5027
885	158657.8398
886	158606.872
887	158576.0336
888	158547.2623
889	158519.3254
890	158506.0301
891	158486.7017
892	158445.4548
893	158371.5734
894	158344.116
895	158307.1307
896	158275.491
897	158211.9665
898	158184.0578
899	158144.158
900	158119.817
901	158084.1364
902	158038.2511
903	158014.0693
904	157954.844
905	157892.6355
906	157853.9688
907	157806.9797
908	157768.9058
909	157747.2138
910	157702.8093
911	157675.9926
912	157644.7659
913	157596.1238
914	157537.013
915	157512.027
916	157471.479
917	157399.7201
918	157344.7123
919	157293.2237
920	157248.0609
921	157194.8225
922	157158.8513
923	157126.1973
924	157099.1347
925	157074.9525
926	157040.4289
927	157010.8644
928	156994.2219
929	156938.28
930	156909.3915
931	156893.9782
932	156849.3108
933	156802.2007
934	156771.9328
935	156718.928
936	156629.3833
937	156562.0737
938	156541.8469
939	156464.5022
940	156398.0483
941	156369.813
942	156324.2997
943	156274.721
944	156198.0168
945	156164.3592
946	156128.6616
947	156079.6752
948	156038.8274
949	155979.5655
950	155940.6592
951	155907.6976
952	155869.5627
953	155841.479
954	155799.3545
955	155776.0478
956	155727.0701
957	155693.2242
958	155655.854
959	155622.7865
960	155547.6792
961	155515.6757
962	155474.1944
963	155437.5981
964	155416.9291
965	155387.9762
966	155345.6947
967	155309.0511
968	155240.805
969	155222.8517
970	155156.6826
971	155112.7184
972	155090.7591
973	155062.9055
974	155026.4732
975	155002.1592
976	154937.7222
977	154919.7327
978	154874.9153
979	154828.6458
980	154772.651
981	154739.4071
982	154660.6614
983	154622.1059
984	154592.9815
985	154558.7124
986	154519.1934
987	154497.4825
988	154472.3598
989	154457.5594
990	154415.1743
991	154391.6111
992	154338.3114
993	154310.0919
994	154250.6916
995	154211.9405
996	154167.2121
997	154158.179
998	154121.1795
999	154098.2073
